step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
1,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.995,0.995,"('C', 'C')",6.0,1,,,,
2,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.99,0.99,"('C', 'D')",5.0,0,,,,
3,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.9851,0.9851,"('C', 'C')",6.0,1,,,,
4,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.9801,0.9801,"('C', 'D')",5.0,0,,,,
5,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.9752,0.9752,"('C', 'D')",5.0,0,,,,
6,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.9704,0.9704,"('C', 'D')",5.0,0,,,,
7,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.9655,0.9655,"('C', 'C')",6.0,1,,,,
8,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.9607,0.9607,"('D', 'C')",5.0,0,,,,
9,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.9559,0.9559,"('D', 'C')",5.0,0,,,,
10,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.9511,0.9511,"('C', 'D')",5.0,0,,,,
11,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.9464,0.9464,"('C', 'D')",5.0,0,,,,
12,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.9416,0.9416,"('D', 'D')",2.0,0,,,,
13,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.9369,0.9369,"('C', 'D')",5.0,0,,,,
14,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.9322,0.9322,"('C', 'C')",6.0,1,,,,
15,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.9276,0.9276,"('D', 'C')",5.0,0,,,,
16,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.9229,0.9229,"('D', 'D')",2.0,0,,,,
17,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.9183,0.9183,"('C', 'C')",6.0,1,,,,
18,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.9137,0.9137,"('C', 'C')",6.0,1,,,,
19,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.9092,0.9092,"('D', 'D')",2.0,0,,,,
20,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.9046,0.9046,"('D', 'D')",2.0,0,,,,
21,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.9001,0.9001,"('D', 'D')",2.0,0,,,,
22,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8956,0.8956,"('C', 'D')",5.0,0,,,,
23,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.8911,0.8911,"('C', 'C')",6.0,1,,,,
24,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.8867,0.8867,"('C', 'C')",6.0,1,,,,
25,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8822,0.8822,"('C', 'D')",5.0,0,,,,
26,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.8778,0.8778,"('D', 'C')",5.0,0,,,,
27,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.8734,0.8734,"('D', 'C')",5.0,0,,,,
28,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.8691,0.8691,"('D', 'D')",2.0,0,,,,
29,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.8647,0.8647,"('D', 'D')",2.0,0,,,,
30,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.8604,0.8604,"('C', 'C')",6.0,1,,,,
31,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8561,0.8561,"('C', 'D')",5.0,0,,,,
32,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.8518,0.8518,"('C', 'C')",6.0,1,,,,
33,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.8475,0.8475,"('D', 'C')",5.0,0,,,,
34,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8433,0.8433,"('C', 'D')",5.0,0,,,,
35,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8391,0.8391,"('C', 'D')",5.0,0,,,,
36,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8349,0.8349,"('C', 'D')",5.0,0,,,,
37,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.8307,0.8307,"('D', 'C')",5.0,0,,,,
38,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.8266,0.8266,"('C', 'C')",6.0,1,,,,
39,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.8224,0.8224,"('D', 'D')",2.0,0,,,,
40,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.8183,0.8183,"('D', 'C')",5.0,0,,,,
41,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.8142,0.8142,"('D', 'D')",2.0,0,,,,
42,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.8102,0.8102,"('C', 'D')",5.0,0,,,,
43,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.8061,0.8061,"('D', 'D')",2.0,0,,,,
44,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.8021,0.8021,"('D', 'D')",2.0,0,,,,
45,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7981,0.7981,"('C', 'C')",6.0,1,,,,
46,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7941,0.7941,"('C', 'C')",6.0,1,,,,
47,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7901,0.7901,"('C', 'D')",5.0,0,,,,
48,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7862,0.7862,"('C', 'D')",5.0,0,,,,
49,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7822,0.7822,"('C', 'D')",5.0,0,,,,
50,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7783,0.7783,"('C', 'D')",5.0,0,,,,
51,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.7744,0.7744,"('D', 'C')",5.0,0,,,,
52,pd_N2,matrix,2,0.8,D,C,5.0,0.0,4.0,1.0,0.7705,0.7705,"('D', 'C')",5.0,0,,,,
53,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7667,0.7667,"('C', 'D')",5.0,0,,,,
54,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7629,0.7629,"('C', 'C')",6.0,1,,,,
55,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.759,0.759,"('D', 'D')",2.0,0,,,,
56,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7553,0.7553,"('C', 'C')",6.0,1,,,,
57,pd_N2,matrix,2,0.8,D,D,1.0,1.0,1.0,1.0,0.7515,0.7515,"('D', 'D')",2.0,0,,,,
58,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7477,0.7477,"('C', 'D')",5.0,0,,,,
59,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.744,0.744,"('C', 'D')",5.0,0,,,,
60,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7403,0.7403,"('C', 'C')",6.0,1,,,,
61,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7366,0.7366,"('C', 'C')",6.0,1,,,,
62,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7329,0.7329,"('C', 'D')",5.0,0,,,,
63,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7292,0.7292,"('C', 'D')",5.0,0,,,,
64,pd_N2,matrix,2,0.8,C,D,0.0,5.0,1.0,4.0,0.7256,0.7256,"('C', 'D')",5.0,0,,,,
65,pd_N2,matrix,2,0.8,C,C,3.0,3.0,3.0,3.0,0.7219,0.7219,"('C', 'C')",6.0,1,,,,
